Ticker,Short Name,ESG Disc Score:Y,Market Cap,Revenue T12M,P/E,Env Disc Sc:Y,Soc Disc Sc:Y,Gov Disc Sc:Y,Sust Gr Rt LF,Cntry of Dom,GICS SubInd,GICS SubInd Name,GICS Sector,Sustainalytics Soc Pctl:D-1,Sustainalytics Environ Pctl:D-1,Debt/Cap LF,% Women on Bd:Y,CEO Duality:Y,DPS LF,EBITA T12M,Total Return:D-1,NI / Profit T12M,LT Brrwng LF,ST Brrwng LF,Total Return YTD,# of Dir on Bd:D-1,Bd Avg Age:Y,Bd Age Limit:Y,% Indep Directors:Y,CEO Duality:Y,% of Non Exec Dir on Bd:D-1,GHG Scope 1:Y,GHG Scope 2:Y,Wtr Intens/Engy Cons:Y,Haz Waste:Y,Total Waste:Y,Tot Wtr Dschgd:Y,% Emp Union:Y,Tot Sal Pd to Execs:Y,Tot Sal & Bns Pd to Execs:Y
ARCH US Equity,ARCH COAL INC-A,20.24790001,2043468672,2340066944,,6.201600075,14.03509998,58.92860031,,US,10102050,Coal & Consumable Fuels,Energy,,,32.32228088,0,0,0.349999994,,-0.064361251,1866718968,312604000,8566000,21.01935738,7,51.42860031,72,85.71430206,0,85.70999908,,,,,,,,3250000,3808986
AROC US Equity,ARCHROCK INC,16.94210052,745664448,779499984,,1.550400019,14.03509998,55.35710144,,US,10101020,Oil & Gas Equipment & Services,Energy,,,66.50826263,25,0,0.119999997,,-0.943399791,-67218000,1392946944,0,-17.08167322,8,59.875,75,87.5,0,87.5,,,,,,,,2120195,2194115
ATO US Equity,ATMOS ENERGY,15.47169971,9530198016,2759734976,23.79224331,3.448299885,10.9375,51.78570175,-3.66802597,US,55102010,Gas Utilities,Utilities,9.756097794,2.439024448,47.41094971,15.38459969,0,0.449999988,727731008,0.350511817,396421000,3067045120,447744992,18.40184382,13,66.69229889,,76.92310333,0,92.30999756,,,,,,,,2882953,2882953
AVA US Equity,AVISTA CORP,16.98110008,3316736512,1450190016,24.7707313,2.758599997,12.5,58.92860031,-32.49304199,US,55103010,Multi-Utilities,Utilities,,,53.56169128,40,1,0.357499987,288694000,-0.135763563,128429000,1543335936,383924000,32.86676356,10,58.09999847,72,90,1,90,,,,,,,45,2282759,2282759
AWK US Equity,AMERICAN WATER W,35.84909821,16319565824,3338000000,32.01828096,18.62070084,57.8125,55.35710144,6.238882065,US,55104010,Water Utilities,Utilities,68.25396729,65.87301636,57.51789856,62.5,0,0.414999992,1213000000,-0.141895742,528000000,6680999936,790000000,29.01909985,7,63.375,75,87.5,0,85.70999908,57.90200043,575.1119995,,,,,46,2685157,2685157
AWR US Equity,AMER STATES WATE,15.09430027,2124091008,443223000,34.44370827,,17.1875,51.78570175,7.359808922,US,55104010,Water Utilities,Utilities,,,41.12467575,44.44440079,0,0.254999995,127394000,0.2249932,67711000,320948992,46333000,29.76485015,9,69,,88.88890076,0,88.88999939,,,,,,,1.90199995,2145175,2406448
AZRE US Equity,AZURE POWER GLOB,,368987808,62394830.06,,,,,,IN,55105020,Renewable Electricity,Utilities,,,70.20960999,,,0,29444977.42,1.428570066,-17491572.57,480124001.9,61899450.95,-16.47058936,,,,,,,,,,,,,,,
BAS US Equity,BASIC ENERGY SVS,19.83469963,610880640,784302016,,9.302300453,12.28069973,51.78570175,,US,10101020,Oil & Gas Equipment & Services,Energy,,,47.45143127,0,0,0,,1.207411698,65534000,269329984,50849000,-33.60678833,7,51.83330154,,83.33329773,0,85.70999908,,,,,,,,1969504,1969504
BBG US Equity,BILL BARRETT COR,14.10789967,499108160,253557000,,,7.8125,51.78570175,,US,10102020,Oil & Gas Exploration & Production,Energy,,,56.51038742,0,0,0,,-0.19454771,-109681000,668744000,465000,-26.60943802,6,63.5,,83.33329773,0,83.33000183,,,,,,,0,1869364,1869364
BCEI US Equity,BONANZA CREEK EN,11.15699959,564313408,191785000,,,,48.21429825,-16.43715858,US,10102020,Oil & Gas Exploration & Production,Energy,,,0,0,0,0,,-6.947721728,-63926000,0,0,,6,59,,83.33329773,0,100,,,,,,,,1830000,1830000
BHGE US Equity,BAKER HUGHES A,,36236873728,,,,,,,US,10101020,Oil & Gas Equipment & Services,Energy,,,10.88717747,,,17.67000008,,0.764330491,,3039000064,1866000000,-27.24714959,9,,,,,77.77999878,,,,,,,,,
BIP US Equity,BROOKFIELD INFRA,10.33059978,17578926080,3228000000,158.45345,1.550400019,14.03509998,26.78569984,,CA,55101010,Electric Utilities,Utilities,,,41.65011597,11.1111002,0,0.435000002,1128000000,-0.155970796,194000000,9144999936,502000000,39.68715722,8,62,,,0,87.5,,,,,,,,,
BKH US Equity,BLACK HILLS CORP,15.84910011,3214956800,1707918976,17.78032574,1.379299998,17.1875,51.78570175,1.262290001,US,55103010,Multi-Utilities,Utilities,,,65.03666687,20,1,0.444999993,398849008,0.333835359,144581000,3109863936,230912992,0.774824156,10,60.40000153,,90,1,90,,,,,,,27,2377500,2377500
BPL US Equity,BUCKEYE PARTNERS,16.59749985,7266213888,3626148032,14.67675836,,17.1875,51.78570175,-5.920125008,US,10102040,Oil & Gas Storage & Transportation,Energy,,,49.308815,20,1,1.262500048,,1.55769278,460150000,4593634816,185410000,-18.69870331,10,64.5,,90,1,90,,,,,,,19.48999977,2729114,4302858
BPMP US Equity,BP MIDSTREAM PAR,,2154729472,,,,,,,US,10102040,Oil & Gas Storage & Transportation,Energy,,,,,,0,,3.159474142,,0,0,,,,,,,,,,,,,,,,
BPT US Equity,BP PRUD BAY-RTU,,430140000,78261000,5.575518461,,,,1.63746798,US,10102020,Oil & Gas Exploration & Production,Energy,,,0,,,0.832899988,77141000,-1.951217651,77149000,0,0,-1.322062139,,,,,,,,,,,,,,,
BRS US Equity,BRISTOW GROUP IN,19.42149925,476372192,1399421984,,2.325599909,19.29820061,58.92860031,,US,10101020,Oil & Gas Equipment & Services,Energy,,,51.55351257,9.090900421,0,0.07,,-1.390919345,-186451000,1198587008,113519000,-33.27062911,12,61.27270126,75,90.90910339,0,91.66999817,,,,,,,0,2412143,2412143
BSM US Equity,BLACK STONE MINE,,3566570752,397619000,26.64583387,,,,-31.57315445,US,10102020,Oil & Gas Exploration & Production,Energy,,,30.66785622,,,0.3125,,-0.2224639,130529000,362000000,0,2.485470089,,,,,,,,,,,,,,,
BTU US Equity,PEABODY ENERGY,30.99169922,4114164992,5502500096,4.121452785,25.58139992,33.33330154,41.07139969,-17.44596291,US,10102050,Coal & Consumable Fuels,Energy,50,63.82978821,32.85541534,18.18180084,0,0,,-0.429949367,-93700000,1612000000,47100000,,9,66.72730255,75,90.90910339,0,88.88999939,,,,3.388900042,55.21870041,1094,39,3613406,3613406
