Index,Metarea,City,State,Region,Latitude,Longitude,HouseElection,Metcode,ParticipantAvg,Duration(Median),Duration(Mean),Frequency,ImmigrantWorkersFreedomRide,NativityForeign,NativityNative(exclusingbothparentsFB),NativityUnknown,NativityBothParentsFB,UnionUnknown,UnionMember,UnionNotMember,NotHispanic,Hispanic,Unemployed,AtWork,Income_median
14,"Charleston-North Charleston, SC",Charleston,SC,Southeast,32.7762,-79.9311,Republican,1440,4000,1,1,1,1,12,370,0,3,368,1,16,385,0,7,166,30000
94,"Sioux Falls, SD",Sioux Falls,SD,Midwest,43.5446,-96.7311,Democratic,7760,300,1,1,1,0,NA,651,5,11,664,3,56,675,48,10,410,30000
61,"Nashville-Davidson-Murfreesboro, TN",Nashville,TN,Southeast,36.174465,-86.76796,Democratic,5361,12000,1,1,1,1,52,565,0,10,579,6,42,583,44,19,315,25000
16,"Chattanooga, TN/GA",Chattanooga,TN,Southeast,35.0456,-85.3097,Democratic,1560,450,1,1,2,0,24,196,0,4,198,1,25,197,27,2,107,17500
46,"Knoxville, TN",Knoxville,TN,Southeast,35.964668,-83.926453,Democratic,3840,1550,1,1,2,1,8,272,0,7,279,1,7,279,8,4,127,25000
44,"Johnson City, TN",Johnson City,TN,Southeast,36.3134,-82.3535,Democratic,3661,300,1,1,1,0,1,95,0,2,90,2,6,98,0,4,48,12000
27,"El Paso, TX",El Paso,TX,Southwest,31.77254,-106.46095,Republican,2310,3000,1,1.666666667,3,1,142,213,0,92,424,2,21,59,388,14,186,15000
84,"San Antonio, TX",San Antonio,TX,Southwest,29.424122,-98.493629,Republican,7240,18000,1,1,2,1,110,690,0,NA,827,5,34,304,562,25,377,21000
5,"Austin-Round Rock, TX",Austin,TX,Southwest,30.2672,-97.7431,Republican,641,10000,1,1,1,1,84,572,2,28,646,2,38,426,260,17,354,29000
12,"Brownsville-Harlingen, TX",Brownsville,TX,Southwest,25.9017,-97.4975,Republican,1241,90,1,1,2,0,62,77,0,36,172,0,3,10,165,4,53,14000
22,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,Southwest,32.89748,-97.04044,Republican,1922,13757.14286,1,1.214285714,8,1,555,1857,35,234,2498,15,168,1838,843,78,1281,32000
40,"Houston-Baytown-Sugar Land, TX",Houston,TX,Southwest,29.7604,-95.3698,Republican,3362,NA,1,1,4,0,576,1598,3,239,2251,12,153,1439,977,63,1099,25000
83,"Salt Lake City, UT",Salt Lake City,UT,West,40.758701,-111.876183,Republican,7161,20000,1,1,1,2,179,1459,15,66,1618,6,95,1473,246,44,835,32937
77,"Roanoke, VA",Roanoke,VA,Southeast,37.270969,-79.941429,Republican,6800,25,1,1,1,0,3,130,0,3,124,0,12,131,5,4,62,24250
75,"Richmond, VA",Richmond,VA,Southeast,37.646152,-77.511429,Republican,6761,4000,1,1,1,0,54,520,3,15,547,1,44,567,25,17,299,29000
103,"Virginia Beach-Norfolk-Newport News, VA/NC",Virginia Beach,VA,Southeast,36.86314,-76.015778,Republican,5721,1000,1,1,1,1,41,696,1,18,702,6,48,711,45,7,381,25000
93,"Seattle-Tacoma-Bellevue, WA",Seattle,WA,West,47.608013,-122.335167,Democratic,7601,33750,1,1,2,0,256,1416,13,97,1652,21,109,1666,116,45,859,31750
109,"Yakima, WA",Yakima,WA,West,46.60207,-120.505898,Democratic,9260,1650,1,1,4,2,38,112,0,36,177,1,8,100,86,10,78,16900
59,"Milwaukee-Waukesha-West Allis, WI",Milwaukee,WI,Midwest,43.038902,-87.906471,Both,5081,30000,1,1,2,1,109,900,1,45,993,8,54,898,157,28,496,31000
55,"Madison, WI",Madison,WI,Midwest,36.174465,-86.76796,Both,4720,6500,1,1,2,1,51,366,3,13,400,7,26,405,28,5,227,32000
